code,lat,long,age,year,type,elev1,from.treeline
T5,28.571660,84.659542,51,1958,tree,3673,below
T37,28.571546,84.659547,37,1972,tree,3682,below
T15,28.571471,84.659528,33,1976,tree,3689,above
T4,28.571477,84.659375,32,1977,tree,3695,above
T21,28.571366,84.659282,21,1988,tree,3709,below
T8,28.571253,84.659289,20,1989,tree,3717,above
T29,28.571151,84.659221,20,1989,tree,3728,below
T32,28.571119,84.659142,18,1991,tree,3735,below
T11,28.571096,84.659063,16,1993,tree,3740,above
T30,28.570988,84.659046,15,1994,tree,3749,above
SPB12,28.570668,84.658737,12,1997,sapling,3788,above
SD88,28.570562,84.658634,9,2000,seedling,3803,above
SD24,28.570524,84.658548,6,2003,seedling,3810,above
SD53,28.570332,84.658523,3,2006,seedling,3827,above
SD14,28.570232,84.658376,2,2007,seedling,3841,above
