code,lat,long,elev,type,age,year,from.treeline
T05,27.898275,86.375575,3938,tree,153,1859,below
T04,27.898298,86.375547,3937,tree,131,1881,below
T08,27.898455,86.375694,3919,tree,104,1908,below
T02,27.898216,86.375529,3943,tree,90,1922,above
T01,27.898168,86.375455,3951,tree,29,1983,above
T06,27.898310,86.375581,3936,tree,23,1989,below
SP01,27.897815,86.374975,4001,sapling,22,1990,above
SP10,27.898255,86.375525,3942,sapling,22,1990,below
SP07,27.898252,86.375398,3948,sapling,21,1991,above
T03,27.898295,86.375525,3939,tree,21,1991,below
T07,27.898405,86.375635,3926,tree,21,1991,below
SP05,27.898240,86.375393,3949,sapling,20,1992,above
SP06,27.898237,86.375407,3948,sapling,20,1992,above
SP13,27.898259,86.375598,3937,sapling,20,1992,below
SP15,27.898318,86.375591,3934,sapling,20,1992,below
SP04,27.898145,86.375431,3953,sapling,18,1994,above
SP12,27.898265,86.375455,3944,sapling,18,1994,above
SP16,27.898327,86.375649,3932,sapling,17,1995,below
SP02,27.898123,86.375443,3953,sapling,15,1997,above
SP09,27.898115,86.375485,3951,sapling,15,1997,above
SP17,27.898349,86.375632,3930,sapling,15,1997,below
SP14,27.898282,86.375583,3937,sapling,14,1998,below
SP03,27.898141,86.375437,3953,sapling,13,1999,above
SP11,27.898255,86.375505,3943,sapling,13,1999,above
SP20,27.898371,86.375628,3929,sapling,13,1999,below
SP08,27.898175,86.375515,3946,sapling,12,2000,above
SP18,27.898388,86.375612,3928,sapling,12,2000,below
SD02,27.898148,86.375472,3951,seedling,11,2001,above
SP19,27.898374,86.375624,3929,sapling,11,2001,below
SD35,27.898473,86.375619,3922,seedling,11,2001,below
SD03,27.898206,86.375404,3951,seedling,10,2002,above
SD04,27.898166,86.375480,3950,seedling,10,2002,above
SD07,27.898276,86.375491,3942,seedling,10,2002,below
SD08,27.898340,86.375527,3936,seedling,10,2002,below
SD11,27.898356,86.375544,3934,seedling,10,2002,below
SD34,27.898447,86.375642,3923,seedling,10,2002,below
SD36,27.898454,86.375654,3922,seedling,10,2002,below
SD39,27.898439,86.375662,3922,seedling,10,2002,below
SD52,27.898515,86.375717,3913,seedling,10,2002,below
SD32,27.898425,86.375661,3923,seedling,9,2003,below
SD33,27.898429,86.375653,3923,seedling,9,2003,below
SD38,27.898436,86.375668,3923,seedling,9,2003,below
SD37,27.898446,86.375656,3922,seedling,9,2003,below
SD51,27.898516,86.375712,3914,seedling,9,2003,below
SD53,27.898549,86.375688,3912,seedling,9,2003,below
SD01,27.898142,86.375483,3950,seedling,8,2004,above
SD16,27.898387,86.375557,3930,seedling,8,2004,below
SD19,27.898371,86.375610,3929,seedling,8,2004,below
SD40,27.898435,86.375685,3923,seedling,8,2004,below
SD47,27.898489,86.375716,3916,seedling,8,2004,below
SD12,27.898358,86.375553,3933,seedling,7,2005,below
SD14,27.898365,86.375565,3933,seedling,7,2005,below
SD18,27.898363,86.375619,3930,seedling,7,2005,below
SD41,27.898439,86.375686,3921,seedling,7,2005,below
SD45,27.898478,86.375712,3917,seedling,7,2005,below
SD46,27.898486,86.375700,3917,seedling,7,2005,below
SD50,27.898516,86.375709,3914,seedling,7,2005,below
SD05,27.898175,86.375475,3949,seedling,6,2006,above
SD10,27.898363,86.375528,3934,seedling,6,2006,below
SD13,27.898355,86.375565,3933,seedling,5,2007,below
SD17,27.898402,86.375588,3929,seedling,5,2007,below
SD21,27.898388,86.375583,3929,seedling,5,2007,below
SD24,27.898382,86.375642,3928,seedling,5,2007,below
SD15,27.898403,86.375629,3926,seedling,5,2007,below
SD42,27.898446,86.375683,3921,seedling,5,2007,below
SD48,27.898500,86.375705,3916,seedling,5,2007,below
SD20,27.898385,86.375591,3929,seedling,4,2008,below
SD22,27.898392,86.375595,3929,seedling,4,2008,below
SD23,27.898383,86.375635,3928,seedling,4,2008,below
SD49,27.898504,86.375704,3916,seedling,4,2008,below
SD43,27.898453,86.375699,3920,seedling,3,2009,below
SD06,27.898305,86.375505,3939,seedling,2,2010,below
SD09,27.898361,86.375496,3935,seedling,2,2010,below
SD28,27.898419,86.375651,3926,seedling,2,2010,below
SD25,27.898425,86.375627,3925,seedling,2,2010,below
SD29,27.898410,86.375667,3925,seedling,2,2010,below
SD26,27.898438,86.375625,3924,seedling,2,2010,below
SD27,27.898422,86.375646,3924,seedling,2,2010,below
SD30,27.898405,86.375677,3924,seedling,2,2010,below
SD31,27.898421,86.375666,3923,seedling,2,2010,below
SD44,27.898452,86.375705,3920,seedling,2,2010,below
