code,lat,long,elev,type,age,year,Ht_cm,from_treeline
T27,28.57213083,84.65995806,3624,T,16,1993,400,
SP96,28.572135,84.65994778,3624,SP,12,1997,47.2,below
SP95,28.57210667,84.66001472,3624,SP,9,2000,21,below
SD89,28.57213861,84.65994361,3624,SD,7,2002,13.4,below
T34,28.57206389,84.66008056,3625,T,22,1987,225,
SP97,28.57206194,84.66007472,3625,SP,11,1998,30.5,below
SD109,28.57208472,84.6600425,3625,SD,9,2000,11.3,below
SP88,28.57208972,84.65998306,3626,SP,12,1997,49,below
SD119,28.57205417,84.66006861,3626,SD,9,2000,14.5,below
T2,28.57207972,84.65996472,3627,T,42,1967,460,
SP98,28.57208611,84.6599075,3627,SP,14,1995,93,below
SP91,28.57202778,84.66005167,3627,SP,10,1999,38,below
SD96,28.57204389,84.66004194,3627,SD,6,2003,13,below
SD98,28.5720725,84.65998833,3627,SD,3,2006,4.5,below
SD116,28.57210111,84.65992972,3627,SD,1,2008,5.8,below
SP78,28.57204667,84.6599825,3628,SP,8,2001,16,below
SP85,28.57200361,84.66002444,3629,SP,12,1997,78.5,below
SP81,28.57204111,84.65993556,3629,SP,11,1998,59,below
SD99,28.57206917,84.65989139,3629,SD,5,2004,13.1,below
SD118,28.57205361,84.65994694,3629,SD,4,2005,7.2,below
SD105,28.57200667,84.66005417,3629,SD,1,2008,6.5,below
T7,28.57200917,84.66000472,3630,T,29,1980,510,
T6,28.57205167,84.659885,3630,T,27,1982,500,
SD107,28.57201556,84.65994222,3630,SD,1,2008,5.5,below
SD104,28.57203167,84.65986306,3631,SD,8,2001,8.8,below
T24,28.57200167,84.65992167,3632,T,26,1983,380,
SP80,28.57198722,84.659955,3632,SP,9,2000,18.7,below
SP82,28.57203194,84.65985694,3632,SP,9,2000,81.3,below
T18,28.57201333,84.65986278,3633,T,20,1989,580,
SD101,28.57195944,84.65999889,3633,SD,9,2000,14.3,below
SD93,28.57195472,84.65996667,3633,SD,8,2001,14.8,below
SD97,28.57198306,84.65992194,3633,SD,6,2003,12.1,below
SD110,28.57200528,84.65989583,3633,SD,4,2005,12,below
SP92,28.571975,84.6599,3634,SP,13,1996,36.4,below
SP87,28.57192833,84.65998028,3635,SP,9,2000,20,below
SD117,28.57197,84.65984611,3635,SD,7,2002,13.6,below
SD103,28.57195028,84.65989889,3635,SD,1,2008,6.3,below
T3,28.5719775,84.65982056,3636,T,33,1976,700,
T17,28.57194667,84.65985333,3636,T,16,1993,600,
SP99,28.57196639,84.65985417,3636,SP,7,2002,20.1,below
T26,28.57191083,84.65995028,3637,T,23,1986,325,
SP90,28.57189667,84.65992806,3637,SP,8,2001,39,below
SP93,28.57196306,84.65979194,3637,SP,8,2001,18.1,below
SD95,28.57196111,84.65979722,3637,SD,1,2008,5.3,below
SD111,28.57192333,84.65983722,3638,SD,9,2000,14.4,below
SP86,28.57190944,84.65987806,3638,SP,7,2002,16.5,below
SD120,28.57189111,84.65991972,3638,SD,6,2003,11.8,below
SP19,28.57193889,84.65980583,3638,SP,5,2004,15.6,below
SD92,28.57194167,84.65977778,3639,SD,6,2003,13.2,below
SP83,28.57192833,84.65978778,3639,SP,6,2003,19.2,below
SD106,28.57188528,84.65988389,3639,SD,3,2006,6.7,below
SD100,28.57201778,84.66001028,3639,SD,1,2008,5.9,below
T1,28.57187917,84.65986278,3640,T,43,1966,480,
SD115,28.57188333,84.6598375,3640,SD,4,2005,11.2,below
SD102,28.57190528,84.65976778,3641,SD,9,2000,12.1,below
SD90,28.57191861,84.65995222,3642,SD,6,2003,12.6,below
SD112,28.571835,84.6599,3642,SD,1,2008,6.8,below
T12,28.57189389,84.65974861,3643,T,27,1982,850,
SD94,28.57186111,84.65979806,3644,SD,10,1999,13.8,below
SP84,28.57186333,84.65979111,3644,SP,10,1999,47,below
SP89,28.57183167,84.65986361,3644,SP,6,2003,18.2,below
SD40,28.57188583,84.65971528,3645,SD,9,2000,13,below
SP16,28.57187222,84.65971444,3645,SP,7,2002,17.5,below
SD91,28.57183417,84.65983917,3645,SD,1,2008,6.9,below
SD114,28.57181583,84.65987583,3645,SD,1,2008,6.3,below
SD108,28.57186222,84.659715,3647,SD,3,2006,5.6,below
T35,28.57181556,84.65977333,3648,T,23,1986,229,
SP69,28.57182667,84.65974944,3648,SP,12,1997,28.3,below
SD113,28.57184361,84.65971278,3648,SD,7,2002,13.3,below
SP94,28.57182722,84.65974944,3648,SP,7,2002,21,below
