code,lat,long,elev,type,age,year,from.treeline
TR40,28.567598,84.696728,3643,tree,106,1907,below
TR05,28.567160,84.696621,3669,tree,87,1926,below
TR02,28.567203,84.696494,3669,tree,80,1933,below
TR26,28.567053,84.696570,3678,tree,78,1935,below
TR52,28.567508,84.696554,3650,tree,78,1935,below
TR66,28.567522,84.696688,3649,tree,75,1938,below
TR63,28.567388,84.696705,3656,tree,68,1945,below
TR11,28.567445,84.696596,3693,tree,59,1954,below
TR34,28.567053,84.696450,3680,tree,59,1954,below
TR33,28.567220,84.696553,3668,tree,55,1958,below
TR68,28.567537,84.696754,3648,tree,51,1962,below
TR13,28.567094,84.696572,3675,tree,48,1965,below
TR16,28.567089,84.696489,3677,tree,44,1969,below
TR30,28.567149,84.696470,3672,tree,43,1970,below
TR08,28.566793,84.696336,3701,tree,38,1975,above
TR22,28.567126,84.696628,3685,tree,38,1975,below
TR27,28.567053,84.696570,3678,tree,38,1975,below
TR42,28.567273,84.696615,3678,tree,38,1975,below
TR49,28.567220,84.696583,3668,tree,38,1975,below
TR45,28.567186,84.696650,3669,tree,37,1976,below
TR36,28.567136,84.696450,3675,tree,36,1977,below
TR31,28.567115,84.696487,3674,tree,36,1977,below
TR47,28.567203,84.696550,3668,tree,36,1977,below
TR28,28.567103,84.696570,3673,tree,35,1978,below
TR71,28.567503,84.696583,3653,tree,35,1978,below
TR51,28.567532,84.696677,3649,tree,35,1978,below
TR41,28.567186,84.696588,3670,tree,34,1979,below
TR76,28.567665,84.696789,3640,tree,34,1979,below
TR25,28.566920,84.696500,3690,tree,33,1980,above
TR55,28.567520,84.696583,3650,tree,33,1980,below
TR67,28.567634,84.696817,3642,tree,33,1980,below
TR74,28.567653,84.696700,3640,tree,33,1980,below
TR43,28.566497,84.696331,3727,tree,31,1982,above
TR39,28.567153,84.696600,3670,tree,31,1982,below
TR38,28.567359,84.696670,3659,tree,31,1982,below
TR73,28.567603,84.696717,3643,tree,31,1982,below
TR19,28.567088,84.696614,3687,tree,29,1984,below
TR18,28.566948,84.696565,3685,tree,28,1985,above
SP08,28.567010,84.696589,3680,sapling,28,1985,below
TR59,28.567303,84.696717,3661,tree,28,1985,below
TR32,28.567237,84.696553,3666,tree,27,1986,below
